"ID","SENTENCE","ARG1","REL","ARG2","CONTEXT","A"
"","","Chamonix-Monte-Branco ","torna ma Escola nacional de ","esqui ","Em 1943 é criada a Escola nacional de ski em Alpe d'Huez e em 1947 é transferida","1"
"106","Whitewater é uma cidade localizada no estado americano de Kansas , no Condado de Butler.","Whitewater ","é ","uma cidade ","","1"
"","","uma cidade ","localizada no   ","estado americano de Kansas ","","1"
"","","Whitewater ","localizada no   ","estado americano de Kansas ","","1"
"","","uma cidade ","é ","Whitewater ","","1"
"107","A Koyamaki foi escolhida como o kamon (brasão) do Príncipe Hisahito de Akishino, actualmente o terceiro na sucessão do Trono do Crisântemo.","A Koyamaki ","foi escolhida como ","o kamon do  Príncipe_Hisahito_de_Akishino ","","1"
"108","Faurei é uma cidade da Roménia com 4.626 habitantes, localizada no judet (distrito) de Braila.","Faurei ","é uma cidade da   ","Roménia com 4.626 habitantes ","","1"
"","","uma cidade da  Roménia com 4.626 habitantes ","localizada no   ","judet de Braila ","","1"
"","","Faurei ","localizada no   ","judet de Braila ","","1"
"",""," uma cidade da  Roménia com 4.626 habitantes "," é","Faurei ","","1"
"109","Está localizada na região nordeste do estado, atendendo aos municípios de São João de Pirabas, Santarém Novo, Maracanã, Magalhães Barata, Marapanim, São João da Ponta, Terra Alta e Vigia.","nordeste do  estado ","atendendo aos   ","municípios de São_João_de_Pirabas ","","1"
"","","nordeste do  estado ","atendendo aos   ","municípios de Santarém_Novo ","","1"
"","","nordeste do  estado ","atendendo aos   ","municípios de Maracanã ","","1"
"","","nordeste do  estado ","atendendo aos   ","municípios de Magalhães_Barata ","","1"
"","","nordeste do  estado ","atendendo aos   ","municípios de Marapanim ","","1"
"","","nordeste do  estado ","atendendo aos   ","municípios de São_João ","","1"
"110","Gambrinus é uma pilsener, surgida em 1869.","Gambrinus ","é ","uma pilsener ","","1"
"","","uma pilsener ","surgida em ","1869","","1"
"","","Gambrinus ","surgida em ","1869","","1"
"111","Foi o edifício mais alto do complexo de AZCA até à construcção da Torre Picasso.",".",".",".",".",""
"112","A Constituição alemã confere à presidência um poder de caráter fundamentalmente representativo, pois, para prevenir os problemas que se deram durante a República de Weimar, não tem capacidade de manobra alguma no processo de eleição do Chanceler da Alemanha e nem pode ditar decretos de urgência.","A Constituição alemã ","confere à   ","presidência ","","1"
"","","um poder de caráter fundamentalmente representativo "," não tem capacidade de ","manobra ","","0"
"","","no  processo de eleição do  Chanceler_da_Alemanha e ","pode ditar decretos de ","urgência "," para prevenir os problemas que se deram durante a República_de_Weimar","0"
"113","Grupo Telemundo ou Telemundo Communications Group é uma propriedade da companhia NBC Universal para radio e televisão.","Telemundo_Communications_Group ","é uma propriedade da   ","companhia NBC Universal "," para radio e televisão","1"
"",""," uma propriedade da  companhia NBC Universal "," é","Telemundo_Communications_Group ","","1"
"114","Tomáš Vaclík (Ostrava, 29 de março de 1989) é um futebolista profissional checo que atua como goleiro, atualmente defende o FC Basel.","Tomáš_Vaclík ","é ","um futebolista profissional checo "," que atua como goleiro","1"
"","","Tomáš_Vaclík ","atua como ","goleiro ","","1"
"","","um futebolista profissional checo ","é ","Tomáš_Vaclík ","","1"
"115","Arraiá da Xuxa foi a décima turnê da apresentadora e cantora Xuxa, baseada no álbum \Arraiá da Xuxa\"".""","Arraiá da  Xuxa ","foi a décima turnê da   ","apresentadora e ","","0"
"","","Xuxa ","baseada no   ","álbum ","","0"
"",""," a décima turnê da  apresentadora e "," foi","Arraiá da  Xuxa ","","0"
"116","Na partida da fase final a equipe que tiver obtido a melhor campanha na somatória de todas as fases anteriores, no caso o Internacional, realizará a partida na condição de mandante.","a equipe ","tiver obtido a melhor campanha na   ","somatória de todas as fases anteriores ","","0"
"","","a melhor campanha na  somatória de todas as fases anteriores ","realizará a partida na   ","condição de mandante ","","1"
"117","As águas em redor pertencem ao Cape Howe Marine National Park.","As águas em redor ","pertencem ao   ","Cape_Howe_Marine_National_Park ","","1"
"118","Situada no rio Tocantins, a usina foi construída em 36 meses (a previsão inicial era de 42 meses).","a usina ","foi construída em ","36 meses ","","1"
"","","a previsão inicial ","era de ","42 meses ","","1"
"119","Com a continuação vieram as quadras, com 20, 18 e por fim 17 metros, que é a atual.","a continuação ","vieram ","as quadras ","","0"
"","","17 metros ","é ","a atual ","","0"
"","","a atual ","é ","17 metros ","","0"
"120","Usado grande parte da sua existência pela equipa da Sociedade Recreativa Boa União Parchalense, ainda nas infra-estruturas antigas de campo pelado, o complexo é agora habitado pelo Clube de Futebol Os Estombarenses, desde 2006.","infra-estruturas antigas de campo "," pelado  desde","2006","","0"
"","","o complexo ","é agora habitado pelo   ","Clube_de_Futebol_Os_Estombarenses ","","1"
"121","Este asteróide foi descoberto em 8 de Novembro de 1990 por Johann Baur.","Este asteróide ","foi descoberto em ","8 de Novembro de 1990 por Johann_Baur ","","1"
"122","Del james (nascido em 5 de Fevereiro de 1964 em New Rochelle, Nova Iorque, EUA) é um escritor e jornalista conhecido por ter trabalhado com Axl Rose da banda Guns N' Roses e com Chuck Billy da banda Testament no álbum The Ritual.","james ","nascido em ","5 de Fevereiro de 1964 em New_Rochelle ","","1"
"","","james ","nascido em ","5 de Fevereiro de 1964 em Nova_Iorque ","","1"
"","","james ","é um escritor","jornalista ","","0"
"","","jornalista ","conhecido por ter trabalhado com ","Axl_Rose da  banda ","","1"
"","","james ","conhecido por ter trabalhado com ","Axl_Rose da  banda ","","1"
"123","O diagrama seguinte representa as localidades num raio de 12 km ao redor de Odem.","O diagrama ","representa as localidades em ","um raio de 12 km ao  redor de Odem ","","1"
"124","Possui uma excentricidade de 0,1679193 e um período orbital de 1 289,63 dias (3,53 anos).",".",".",".",".",""
"125","A Casa degli Omenoni é um palácio de Milão situado na moderna Via degli Omenoni.","A Casa degli Omenoni ","é um palácio de ","Milão ","","1"
"","","um palácio de Milão ","situado na   ","moderna Via degli Omenoni ","","1"
"","","A Casa degli Omenoni ","situado na   ","moderna Via degli Omenoni ","","1"
"",""," um palácio de Milão "," é","A Casa degli Omenoni ","","1"
"126","Goran Višnjic (Šibenik, 9 de Setembro de 1972), é um ator croata radicado nos Estados Unidos da América.","Goran_Višnjic ","é ","um ator croata ","","1"
"","","um ator croata ","radicado nos   ","Estados_Unidos da  América ","","1"
"","","Goran_Višnjic ","radicado nos   ","Estados_Unidos da  América ","","1"
"","","um ator croata ","é ","Goran_Višnjic ","","1"
"127","O Teatro Marítimo é um conjunto situado face o jardim das bibliotecas.","O Teatro_Marítimo ","é ","um conjunto situado ","","0"
"","","um conjunto ","situado face o jardim das   ","bibliotecas ","","1"
"","","um conjunto situado ","é ","O Teatro_Marítimo ","","0"
"128","No fim, logicamente, tudo acaba bem: Segredo perde seus poderes e finalmente volta a ser uma garota mortal, Slobo é transformado numa estátua no século 853 por Darkseid e o restante da Justiça Jovem retoma seu dia-a-dia.","Segredo ","perde seus poderes","uma garota mortal ","","0"
"","","Segredo ","volta a ser ","uma garota mortal ","","1"
"","","Slobo ","é transformado em ","uma estátua no  século 853 por Darkseid ","","1"
"","","o restante da  Justiça_Jovem ","retoma ","seu dia-a-dia ","","1"
"",""," seus poderes e finalmente volta a ser uma garota mortal "," perde","Segredo ","","0"
"129","No Brasil, os pianos Steinway & Sons são importados e comercializados, com exclusividade, pela Gluck Pianos.","Sons ","são  importados ","pela ","","0"
"","","Sons "," comercializados","pela ","","0"
"130","O clima é geralmente mais quente que o de Auckland, com menos humidade e chuva, e mais horas de luz.","O clima ","é geralmente mais quente que ","o de Auckland ","","1"
"131","Alice Regina Brown (Jackson, 20 de setembro de 1960) é uma ex-atleta velocista norte-americana, bicampeã olímpica e campeã mundial.","Alice_Regina_Brown ","é ","uma ex-atleta ","","1"
"132","Kazimierz Funk (23 de fevereiro de 1884 — 19 de novembro de 1967), mais conhecido pela forma americana do seu nome, Casimir Funk, foi um bioquímico polonês que geralmente leva os créditos pela primeira formulação do conceito de vitaminas, em 1912.","Kazimierz_Funk ","foi ","um bioquímico polonês "," em 1912","1"
"","","que ","leva os créditos pela   ","primeira formulação do  conceito de vitaminas "," em 1912","0"
"","","um bioquímico polonês ","foi ","Kazimierz_Funk ","","1"
"133","Este asteroide foi descoberto no dia 29 de março de 1998 por LINEAR em Socorro.","Este asteroide ","foi descoberto no   ","dia 29 de março de 1998 por LINEAR em Socorro ","","1"
"134","O gênero botânico das Briofitas, Buxbaumia, foi dado em sua homenagem, assim como a espécie do gênero Carex, Carex buxbaumii.","O gênero botânico das  Briofitas ","foi dado em ","sua homenagem ","","1"
"","","O gênero botânico das  Buxbaumia ","foi dado em ","sua homenagem ","","1"
"135","Granite Hills é uma Região censo-designada localizada no estado americano da Califórnia, no Condado de San Diego.","Hills ","é ","uma Região ","","1"
"","","censo-designada ","localizada no   ","estado americano da  Califórnia ","","0"
"","","uma Região ","é ","Hills ","","1"
"136","Os que são punidos no Dis são pecadores ativos: hereges, assassinos, suicidas, estelionatários e traidores.","hereges "," suicidas","estelionatários e traidores ","","0"
"137","Serinus menachensis é uma espécie de fringilídeos da família Fringillidae.","Serinus ","é uma espécie de ","fringilídeos da  família ","","1"
"",""," uma espécie de fringilídeos da  família "," é","Serinus ","","1"
"138","Epidendrum denticulatum, é uma espécie de orquídea, muito comum no Brasil, que faz parte de um grupo de espécies de pertencentes ao gênero Epidendrum, todas muito parecidas, distintas apenas por pequenos detalhes, as quais de modo geral são consideradas sinônimos do E.","Epidendrum denticulatum ","é uma espécie de ","orquídea ","","1"
"","","todas "," parecidas  as  quais  de","modo geral "," que faz parte de um grupo de espécies de pertencentes ao  gênero Epidendrum","0"
"","","as quais de modo geral ","são consideradas sinônimos do   ","E. ","","0"
"",""," uma espécie de orquídea "," é","Epidendrum denticulatum ","","1"
"139","Tal percepção é visível por quem transita pela principal via da cidade de Canindé de São Francisco e condiz com a impressão que os visitantes dos mais diversos estados brasileiros têm ao visitar os cânions do Rio São Francisco, quando notam a limpeza e organização presente na cultura do povo local.","Tal percepção ","condiz com ","a impressão "," quando notam a limpeza e organização presente na  cultura do  povo local","1"
"","","os visitantes dos  mais diversos estados brasileiros ","têm ao   ","visitar os cânions do ","Tal percepção é visível por quem transita pela principal via da cidade de Canindé de São_Francisco e condiz com a impressão","0"
"","","visitantes dos  mais diversos estados brasileiros têm ","  visitar os cânions do   ","Rio_São_Francisco "," quando notam a limpeza e organização presente na  cultura do  povo local","0"
"140","As filmagens começaram em 11 de setembro de 2011.","As filmagens ","começaram em ","11 de setembro de 2011 ","","1"
"141","Confina com as seguintes comunas: Aquila (TI), Campo (TI), Disentis/Mustér, Ghirone (TI), Olivone (TI), Quinto (TI), Sumvitg, Tujetsch, Vrin.",".",".",".",".",""
"142","O seu significado é \celeiro, despenseiro\"".""","O seu significado ","é ","\ celeiro ""","",""
"143","A Medalha Feenberg (em inglês: Eugene Feenberg Memorial Medal, também Feenberg Award) é um prêmio na área da teoria de múltiplos corpo da mecânica quântica, denominado em memória de Eugene Feenberg.","A Medalha_Feenberg ","é um prêmio na   ","área da  teoria de múltiplos ","","0"
"","","corpo da  mecânica quântica ","denominado em ","memória de Eugene_Feenberg ","","0"
"",""," um prêmio na  área da  teoria de múltiplos "," é","A Medalha_Feenberg ","","0"
"144","De acordo com o censo de 2000, a região possuía uma população de 1.052.238 habitantes O censo de 2009 aponta para um aumento estimado de 1.212.848 habitantes.","a região ","possuía uma população de ","1.052.238 habitantes ","","1"
"","","O censo de 2009 ","aponta para ","um aumento ","","1"
"","","um aumento ","estimado de ","1.212.848 habitantes ","","1"
"145","Sua dispersão é uniforme, mas em baixa densidade, tanto em formações primárias quanto secundárias.","Sua dispersão ","é ","uniforme "," mas em baixa densidade","1"
"146","Milita no MUD Juvenil a partir de Julho de 1946, fazendo parte da Comissão de Escola do MUD Juvenil da EBAL que vai congregar nomes como Francisco Castro Rodrigues, José Dias Coelho, João Abel Manta, Lima de Freitas, António Alfredo, M.","Juvenil a_partir_de Julho de 1946 ","fazendo parte da   ","Comissão_de_Escola do  MUD_Juvenil da  EBAL "," que vai congregar nomes como Francisco_Castro_Rodrigues","0"
"147","Em 1955 deram-se alguns passos para restabelecer um sentido de identidade nacional para Gales quando Cardiff foi declarada a sua capital.","Cardiff ","foi declarada a ","sua capital ","Em 1955 deram -se alguns passos para restabelecer um sentido de identidade nacional para Gales quando ","1"
"148","No norte se inicia na tríplice fronteira dos dois países com o sul de Burkina Faso e vai até o sul, no porto ganês de Beyin, no litoral do Golfo da Guiné (Oceano Atlântico).","norte ","inicia na   ","tríplice fronteira dos  dois países com o sul de Burkina_Faso ","","1"
"","","norte ","vai até ","o sul ","","1"
"149","Esta lista reúne os recordes olímpicos do tiro esportivo, atualizados até os Jogos Olímpicos de Verão de 2008.","Esta lista ","reúne os recordes olímpicos do   ","tiro esportivo ","","1"
"","","os recordes olímpicos do  tiro esportivo ","atualizados até ","os Jogos_Olímpicos_de_Verão de 2008 ","","1"
"150","Estende-se por uma área de 1430,55 km², com 56 434 habitantes, segundo os censos de 2005, com uma densidade 39,45 hab/km².",".",".",".",".",""
"151","Por conta disso Igan caiu em desgraça, não raro sendo debochada por Barrabás.","Igan ","caiu em ","desgraça ","","1"
"","","não raro ","sendo debochada por ","Barrabás ","","0"
"152","Este asteroide foi descoberto no dia 5 de abril de 2000 por LINEAR em Socorro.","Este asteroide ","foi descoberto no   ","dia 5 de abril de 2000 por LINEAR em Socorro ","","1"
"153","Este asteroide foi descoberto no dia 3 de outubro de 1999 por Spacewatch em Kitt Peak.","Este asteroide ","foi descoberto no   ","dia 3 de outubro de 1999 por Spacewatch em Kitt_Peak ","","1"
"154","Coyatepec foi uma cidade Asteca, no estado de Oaxaca, colonizada pelos espanhóis.","Coyatepec ","foi ","uma cidade Asteca ","","1"
"","","uma cidade Asteca ","colonizada pelos   ","espanhóis ","","1"
"","","Coyatepec ","colonizada pelos   ","espanhóis ","","1"
"","","uma cidade Asteca ","foi ","Coyatepec ","","1"
"155","O Museu Paroquial de Moncarapacho é uma instituição museológica, sediada na Freguesia de Moncarapacho do Concelho de Olhão, no Distrito de Faro, em Portugal.","O Museu_Paroquial_de_Moncarapacho ","é ","uma instituição museológica ","","1"
"","","uma instituição museológica ","sediada na   ","Freguesia_de_Moncarapacho do  Concelho_de_Olhão ","","1"
"","","O Museu_Paroquial_de_Moncarapacho ","sediada na   ","Freguesia_de_Moncarapacho do  Concelho_de_Olhão ","","1"
"","","uma instituição museológica ","é ","O Museu_Paroquial_de_Moncarapacho ","","1"
"156","Falta amor é o segundo álbum da banda mexicana Maná.","amor ","é o segundo álbum da   ","banda mexicana ","","0"
"",""," o segundo álbum da  banda mexicana "," é","amor ","","0"
"157","A FEE busca também estabelecer convênios de cooperação técnica e parcerias com outras instituições de pesquisa e acadêmicas.","A FEE ","busca também estabelecer convênios de ","cooperação técnica ","","1"
"158","Este asteróide foi descoberto em 27 de Abril de 1998 por Paul Comba.","Este asteróide ","foi descoberto em ","27 de Abril de 1998 por Paul_Comba ","","1"
"159","No mesmo ano a Turma Caipira fez sua última apresentação, em Santos.","a Turma_Caipira ","fez ","sua última apresentação "," em Santos","1"
"160","Sua capital é a cidade de Filipstad.","Sua capital ","é a cidade de ","Filipstad ","","1"
"",""," a cidade de Filipstad "," é","Sua capital ","","1"
"161","Este efeito não acontece com pessoas que têm algumas formas de prosopagnosia, uma desordem em que a percepção do rosto é prejudicada, geralmente adquirida após uma lesão ou doença cerebral.","Este efeito "," não acontece com ","pessoas "," que têm algumas formas de prosopagnosia","1"
"","","a percepção do  rosto ","é   prejudicada  geralmente  adquirida  após","lesão ou ","","0"
"162","Em 2007, Tiago foi o goleiro com mais gols no Brasil, foram 13 no total, contra 10 do rival e ídolo Rogério Ceni, sendo 9 na disputa da Séria B do Campeonato Brasileiro.","Tiago ","foi o goleiro com ","mais gols no  Brasil ","Em 2007","1"
"","","2007","foram 13 no   ","total ","","0"
"","","2007","sendo 9 na   ","disputa da  Séria ","","0"
"",""," o goleiro com mais gols no  Brasil "," foi","Tiago ","","1"
"163","Este asteroide foi descoberto no dia 9 de janeiro de 1999 por Tetsuo Kagawa em Gekko.","Este asteroide ","foi descoberto no   ","dia 9 de janeiro de 1999 por Tetsuo_Kagawa em Gekko ","","1"
"164","A maioria das plantas pode ser designada como erva, trepadeira, liana, arbusto ou árvore (com algumas subcategorias), ainda que algumas espécies sejam de difícil categorização.","A maioria das  plantas ","pode ser designada como ","erva ","","1"
"","","A maioria das  plantas ","pode ser designada como ","trepadeira ","","1"
"","","A maioria das  plantas ","pode ser designada como ","liana ","","1"
"","","algumas espécies ","sejam de ","difícil categorização ","","1"
"165","Thomasomys laniger é uma espécie de roedor da família Cricetidae.","laniger ","é uma espécie de ","roedor da  família ","","1"
"",""," uma espécie de roedor da  família "," é","laniger ","","1"
"166","Este asteroide foi descoberto no dia 29 de agosto de 1987 por Eric Walter Elst em La Silla.","Este asteroide ","foi descoberto no   ","dia 29 de agosto de 1987 por Eric_Walter_Elst em La_Silla ","","1"
"167","Irving Ezra Segal (Bronx, 13 de setembro de 1918 — Lexington, 24 de dezembro de 1998) foi um matemático estadunidense.","Irving_Ezra_Segal ","foi ","um matemático estadunidense ","","1"
"","","um matemático estadunidense ","foi ","Irving_Ezra_Segal ","","1"
"168","Jerônimo de Cárdia foi um historiador grego.","Jerônimo de Cárdia ","foi ","um historiador grego ","","1"
"","","um historiador grego ","foi ","Jerônimo de Cárdia ","","1"
"169","Prionanthium é um género botânico pertencente à família Poaceae.",".",".",".",".",""
"170","Betancourt chegou ao poder, pela primeira vez, mediante um golpe de estado que derrubou o presidente Isaías Medina Angarita em 1945.","Betancourt ","chegou ao   ","poder ","","1"
"","","um golpe de estado ","derrubou o presidente Isaías_Medina_Angarita em ","1945","","1"
"171","Leonor voltou para a Inglaterra deixando Berengária aos cuidados de Joana.","Leonor ","voltou para ","a Inglaterra ","","1"
"","","a Inglaterra ","deixando Berengária aos   ","cuidados de Joana ","","0"
"172","O World Fantasy Award é entregue durante o evento.","O World_Fantasy_Award ","é entregue durante ","o evento ","","1"
"173","Este sucesso foi importante para fazer avançar a construção dos interferômetros Submillimeter Array e Atacama Large Millimeter Array.","Este sucesso ","foi importante para fazer avançar a construção dos   ","interferômetros Submillimeter_Array ","","1"
"","","Este sucesso ","foi importante para fazer avançar a construção dos   ","interferômetros Atacama_Large_Millimeter_Array ","","1"
"174","Conflyto voltou ao passado perseguindo seu arqui-inimigo Cable e foi o responsável pela liberação do Vírus Legado, que matou inúmeros mutantes.","Conflyto ","voltou ao   ","passado "," que matou inúmeros mutantes","1"
"","","passado ","perseguindo seu arqui-inimigo Cable","foi o responsável pela  liberação do "," que matou inúmeros mutantes","0"
"","","passado ","foi o responsável pela   ","liberação do  Vírus_Legado "," que matou inúmeros mutantes","0"
"",""," o responsável pela  liberação do  Vírus_Legado "," foi","passado ","","0"
"175","Considerando sua distância de 244 anos-luz em relação à Terra, sua magnitude absoluta é igual a 0.85.","sua magnitude absoluta ","é igual a ","0.85 ","Considerando sua distância de 244 anos-luz em relação à  Terra","1"
"176","Lançada em 1997, a canção foi terceiro single do álbum Everywhere.","a canção ","foi terceiro single do   ","álbum Everywhere ","","1"
"177","Corani é um distrito do Peru, departamento de Puno, localizada na província de Carabaya.","Corani ","é um distrito do   ","Peru ","","1"
"","","um distrito do  Peru ","localizada na   ","província de Carabaya ","","1"
"","","Corani ","localizada na   ","província de Carabaya ","","1"
"",""," um distrito do  Peru "," é","Corani ","","1"
"178","A única esperança para os sobreviventes é Kit Latura (Sylvester Stallone), um ex-bombeiro que precisará entrar no túnel e resgatar as vítimas antes que o ar se esgote, ou que o próprio túnel desabe.","A única esperança para os sobreviventes ","é ","Kit_Latura ","","1"
"","","A única esperança para os sobreviventes ","é ","Sylvester_Stallone ","","1"
"","","um ex-bombeiro ","precisará entrar no   ","túnel ","","1"
"","","um ex-bombeiro ","resgatar as vítimas antes que ","o ar "," se esgote","0"
"179","Kitty Gordon (22 de abril de 1878 – 26 de maio de 1974) foi uma atriz britânica de cinema e teatro.","Kitty_Gordon ","foi uma atriz britânica de ","cinema ","","1"
"","","Kitty_Gordon ","foi uma atriz britânica de ","teatro ","","1"
"",""," uma atriz britânica de cinema "," foi","Kitty_Gordon ","","1"
"",""," uma atriz britânica de teatro "," foi","Kitty_Gordon ","","1"
"180","Exerceu várias vezes o cargo de deputado provincial por Pernambuco.",".",".",".",".",""
"181","Até 15 de dezembro de 2015.",".",".",".",".",""
"182","Põlde é localizado no município de Abja vald e Viljandimaa, no sul do país, e 150 km ao sul da capital Tallinn.","Põlde ","é localizado no   ","município de Abja vald ","","1"
"","","Põlde ","é localizado no   ","município de Abja Viljandimaa ","","1"
"183","Pode ser encontrada nos seguintes países: Indonésia e Papua-Nova Guiné.",".",".",".",".",""
"184","O Instituto Luce (em italiano: Istituto Luce, acrónimo de L'Unione Cinematografica Educativa; em português: União Cinematográfica Educativa) foi uma empresa italiana, criada em 1924 durante a ditadura fascista na Itália.","O Instituto_Luce ","foi ","uma empresa italiana ","","1"
"","","uma empresa italiana ","criada em ","1924 durante a ditadura fascista na  Itália ","","1"
"","","O Instituto_Luce ","criada em ","1924 durante a ditadura fascista na  Itália ","","1"
"","","uma empresa italiana ","foi ","O Instituto_Luce ","","1"
"185","A quarta temporada da World Poker Tour (WPT) foi disputada entre os anos de 2005 e 2006 com dezesseis eventos.","A quarta temporada da  World_Poker_Tour ","foi disputada entre ","os anos de 2005 e 2006 com dezesseis eventos ","","1"
"","","A quarta temporada da  WPT ","foi disputada entre ","os anos de 2005 e 2006 com dezesseis eventos ","","1"
"186","Foi aparentado com a primeira ave, o Archaeopteryx.",".",".",".",".",""
"187","Para ganhar a confiança de Sophie de volta, Krusty tenta recuperar o violino da residência de Fat Tony com a ajuda de Homer.","Krusty ","tenta recuperar o violino da   ","residência de Fat_Tony com a ajuda de Homer ","Para ganhar a confiança de Sophie de volta","1"
"188","Traz gravações feitas pela banda em 1993.",".",".",".",".",""
"189","Sillis (asteróide 21627) é um asteróide da cintura principal, a 2,032963 UA.","Sillis ","é um asteróide da   ","cintura principal ","","1"
"",""," um asteróide da  cintura principal "," é","Sillis ","","1"
"190","Ao saber da dura condição de seu comandante, as tropas romanas da região correram para Lingoes e infligiram pesadas perdas aos alamanos.","as tropas romanas da  região ","correram para ","Lingoes ","","1"
"","","as tropas romanas da  região ","infligiram pesadas perdas aos   ","alamanos ","","1"
"191","Hencke (asteroide 2005, com designação provisória 1973 RA) é um asteroide da cintura principal, a 2,185535 UA.","Hencke ","é um asteroide da   ","cintura principal ","","1"
"",""," um asteroide da  cintura principal "," é","Hencke ","","1"
"192","Can't Find My Way Home, é uma canção de muito sucesso da banda de rock clássico Blind Faith de 1969.","Find_My_Way_Home ","é uma canção de ","muito sucesso da  banda de rock clássico ","","1"
"",""," uma canção de muito sucesso da  banda de rock clássico "," é","Find_My_Way_Home ","","1"
"193","Todas as canções foram compostas por Martijn Garritsen (Martin Garrix).","Todas as canções ","foram compostas por ","Martijn_Garritsen ","","1"
"","","Todas as canções ","foram compostas por ","Martin_Garrix ","","1"
"194","Danville é uma cidade localizada no estado americano de Indiana, no Condado de Hendricks.","Danville ","é ","uma cidade ","","1"
"","","uma cidade ","localizada no   ","estado americano de Indiana ","","1"
"","","Danville ","localizada no   ","estado americano de Indiana ","","1"
"","","uma cidade ","é ","Danville ","","1"
"195","Plethodon neomexicanus é uma espécie de salamandra da família Plethodontidae.","neomexicanus ","é uma espécie de ","salamandra da  família ","","1"
"",""," uma espécie de salamandra da  família "," é","neomexicanus ","","1"
"196","Tudo ao Mesmo Tempo Agora é o sexto álbum de estúdio da banda brasileira de rock Titãs, lançado em 1991.","Tudo ao  Mesmo_Tempo_Agora ","é o sexto álbum de ","estúdio da  banda brasileira de rock ","","1"
"","","Titãs ","lançado em ","1991","","0"
"",""," o sexto álbum de estúdio da  banda brasileira de rock "," é","Tudo ao  Mesmo_Tempo_Agora ","","1"
"197","Kjær gravou também uma versão inglesa, intitulada \I´m chasing butterflies\""""","Kjær ","gravou também ","uma versão inglesa ","","1"
"","","uma versão inglesa ","intitulada ","\ ""","","0"
"","","I´m ","chasing ","butterflies ","","0"
"198","\Vi maler byen rød\"", canção da Dinamarca no Festival Eurovisão da Canção 1989.""",".",".",".",".",""
"199","Na década de 1950, quando já se tinha à disposição uma nova instrumentação, especialmente foguetes e sismógrafos, inspiraram ao cientista norte-americano Lloyd Berkner a propor um terceiro Ano Polar.","década de 1950 ","inspiraram ao   ","cientista norte-americano Lloyd_Berkner ","","0"
"","","Lloyd_Berkner ","propor ","um terceiro Ano_Polar ","","1"
"200","Lewis é famoso por sua habilidade em composição e foi indicado a três Grammys.","Lewis ","é famoso por ","sua habilidade em composição ","","1"
"","","Lewis ","foi indicado a ","três Grammys ","","1"
